epoch,train_data,wave,gauge,ic,bdry,val_data,best_val,phys_w,bad,epoch_sec,unix_ts
123,4.729033e-03,2.897632e+02,5.371904e-02,3.395337e-06,3.273459e-01,4.459168e-03,4.459168e-03,0.0000,0,299.2,1781845471
124,4.660883e-03,2.804906e+02,5.250380e-02,3.597192e-06,3.289716e-01,4.590194e-03,4.459168e-03,0.0000,1,299.2,1781845770
125,4.737420e-03,2.772568e+02,5.086303e-02,4.398196e-06,3.292658e-01,4.803473e-03,4.459168e-03,0.0000,2,299.3,1781846070
126,4.774946e-03,2.651288e+02,4.883769e-02,3.782141e-06,3.249561e-01,5.050091e-03,4.459168e-03,0.0001,3,299.2,1781846369
127,4.757430e-03,2.802485e+02,5.243285e-02,3.700997e-06,3.281305e-01,4.721813e-03,4.459168e-03,0.0001,4,299.2,1781846668
128,4.701531e-03,2.694762e+02,5.591753e-02,3.594527e-06,3.334703e-01,4.992418e-03,4.459168e-03,0.0000,5,299.2,1781846967
129,4.754251e-03,2.770782e+02,5.466476e-02,4.358390e-06,3.313188e-01,4.521496e-03,4.459168e-03,0.0001,6,299.2,1781847267
130,4.750846e-03,2.764500e+02,5.386625e-02,4.249252e-06,3.322572e-01,4.691815e-03,4.459168e-03,0.0001,7,299.3,1781847566
131,4.816933e-03,2.843151e+02,4.752637e-02,3.602760e-06,3.280821e-01,4.580447e-03,4.459168e-03,0.0001,8,299.2,1781847865
132,4.792079e-03,2.751129e+02,5.150501e-02,4.281888e-06,3.275981e-01,4.794493e-03,4.459168e-03,0.0001,9,299.1,1781848164
133,4.757854e-03,2.755745e+02,4.883357e-02,3.956496e-06,3.318416e-01,4.681718e-03,4.459168e-03,0.0001,10,299.1,1781848463
134,4.752055e-03,2.780705e+02,5.592051e-02,3.576690e-06,3.288429e-01,4.565184e-03,4.459168e-03,0.0001,11,299.1,1781848762
135,4.677667e-03,2.759654e+02,4.506862e-02,4.007878e-06,3.360340e-01,5.033307e-03,4.459168e-03,0.0000,12,299.1,1781849061
136,4.738156e-03,2.715468e+02,4.700477e-02,3.095417e-06,3.271016e-01,4.987075e-03,4.459168e-03,0.0001,13,299.1,1781849361
137,4.830884e-03,2.756873e+02,4.930278e-02,4.798012e-06,3.311258e-01,4.554643e-03,4.459168e-03,0.0001,14,299.1,1781849660
